User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (min/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
368,OnePlus 9,Android,598,672.0,2876,85,2477,58,Female,5
369,OnePlus 9,Android,102,234.0,747,36,408,49,Female,2
371,iPhone 12,iOS,558,588.0,2765,83,1548,25,Female,5
373,Samsung Galaxy S21,Android,511,654.0,2514,91,2335,59,Female,5
374,Google Pixel 5,Android,560,678.0,2947,95,1663,25,Female,5
377,iPhone 12,iOS,65,102.0,490,17,122,51,Female,1
378,Google Pixel 5,Android,458,360.0,1875,63,1072,31,Female,4
383,OnePlus 9,Android,84,90.0,373,19,299,37,Female,1
386,iPhone 12,iOS,349,396.0,2041,78,1096,40,Female,4
389,Xiaomi Mi 11,Android,563,696.0,2968,92,2191,34,Female,5
390,Xiaomi Mi 11,Android,119,168.0,775,31,313,50,Female,2
395,Google Pixel 5,Android,589,552.0,2663,84,1774,45,Female,5
397,Xiaomi Mi 11,Android,78,66.0,437,14,143,27,Female,1
399,OnePlus 9,Android,41,96.0,323,18,221,43,Female,1
404,Samsung Galaxy S21,Android,566,516.0,2595,89,1657,51,Female,5
405,iPhone 12,iOS,559,491.99999999999994,2618,84,2102,22,Female,5
406,Google Pixel 5,Android,478,438.0,2340,69,1017,43,Female,4
407,Xiaomi Mi 11,Android,147,192.0,994,33,567,25,Female,2
408,OnePlus 9,Android,395,438.0,2291,61,1049,55,Female,4
409,Samsung Galaxy S21,Android,357,468.0,2289,74,1242,22,Female,4
411,Samsung Galaxy S21,Android,501,708.0,2790,86,2074,31,Female,5
413,OnePlus 9,Android,257,306.0,1692,46,769,52,Female,3
415,Google Pixel 5,Android,116,120.0,1171,22,573,33,Female,2
417,Xiaomi Mi 11,Android,264,306.0,1293,52,737,27,Female,3
418,Samsung Galaxy S21,Android,572,702.0,2655,91,2481,57,Female,5
419,Xiaomi Mi 11,Android,202,294.0,1549,43,964,27,Female,3
423,iPhone 12,iOS,416,366.0,2115,71,1041,22,Female,4
424,Xiaomi Mi 11,Android,46,66.0,536,18,167,28,Female,1
427,OnePlus 9,Android,98,144.0,747,36,403,44,Female,2
436,Xiaomi Mi 11,Android,105,204.0,798,21,467,34,Female,2
439,OnePlus 9,Android,105,180.0,728,24,343,52,Female,2
441,Google Pixel 5,Android,260,342.0,1725,56,920,36,Female,3
444,iPhone 12,iOS,231,240.0,1664,48,724,29,Female,3
449,Samsung Galaxy S21,Android,152,180.0,617,22,306,22,Female,2
450,Google Pixel 5,Android,34,72.0,518,10,170,20,Female,1
456,iPhone 12,iOS,74,96.0,436,13,182,27,Female,1
457,iPhone 12,iOS,74,96.0,587,15,275,27,Female,1
459,iPhone 12,iOS,56,60.0,547,10,142,58,Female,1
461,Samsung Galaxy S21,Android,523,540.0,2696,91,1561,20,Female,5
465,Xiaomi Mi 11,Android,68,78.0,583,10,281,26,Female,1
466,OnePlus 9,Android,265,288.0,1770,51,723,55,Female,3
468,Google Pixel 5,Android,238,240.0,1414,47,661,41,Female,3
472,Xiaomi Mi 11,Android,541,564.0,2452,93,1811,53,Female,5
473,Xiaomi Mi 11,Android,139,180.0,697,37,513,26,Female,2
475,Xiaomi Mi 11,Android,210,294.0,1657,55,765,49,Female,3
476,Samsung Galaxy S21,Android,412,372.0,2201,68,1085,54,Female,4
477,Google Pixel 5,Android,318,396.0,2089,77,1126,49,Female,4
478,iPhone 12,iOS,258,252.0,1315,44,762,59,Female,3
479,OnePlus 9,Android,258,258.0,1759,59,718,41,Female,3
484,Xiaomi Mi 11,Android,78,96.0,470,18,230,49,Female,1
485,iPhone 12,iOS,444,360.0,1873,61,1093,39,Female,4
487,iPhone 12,iOS,131,228.0,739,34,330,57,Female,2
488,iPhone 12,iOS,228,264.0,1734,46,804,57,Female,3
489,Xiaomi Mi 11,Android,416,438.0,1882,62,1333,32,Female,4
492,iPhone 12,iOS,152,222.0,948,22,507,53,Female,2
493,Xiaomi Mi 11,Android,87,90.0,594,19,198,36,Female,1
495,Samsung Galaxy S21,Android,107,150.0,1176,24,545,29,Female,2
497,iPhone 12,iOS,182,288.0,1500,51,807,43,Female,3
498,iPhone 12,iOS,102,174.0,918,37,362,20,Female,2
500,iPhone 12,iOS,143,216.0,988,26,504,45,Female,2
502,Xiaomi Mi 11,Android,420,462.0,2017,74,1187,24,Female,4
503,Xiaomi Mi 11,Android,582,504.0,2664,91,2493,55,Female,5
506,Samsung Galaxy S21,Android,348,396.0,2398,66,1415,49,Female,4
508,Xiaomi Mi 11,Android,33,120.0,318,11,173,42,Female,1
511,Google Pixel 5,Android,241,318.0,1767,58,976,38,Female,3
514,OnePlus 9,Android,110,204.0,975,31,507,57,Female,2
519,OnePlus 9,Android,574,510.0,2780,87,1809,34,Female,5
523,Xiaomi Mi 11,Android,438,390.0,1849,64,1125,49,Female,4
525,Samsung Galaxy S21,Android,272,312.0,1390,45,792,57,Female,3
527,Google Pixel 5,Android,99,144.0,689,36,318,29,Female,2
528,iPhone 12,iOS,44,72.0,466,10,131,57,Female,1
530,Google Pixel 5,Android,228,288.0,1639,47,796,42,Female,3
531,Xiaomi Mi 11,Android,589,708.0,2629,86,2479,43,Female,5
533,iPhone 12,iOS,431,384.0,2206,66,1200,23,Female,4
534,Xiaomi Mi 11,Android,190,282.0,1276,57,915,22,Female,3
536,Samsung Galaxy S21,Android,139,198.0,937,24,573,25,Female,2
538,Samsung Galaxy S21,Android,593,666.0,2672,82,2258,34,Female,5
539,Google Pixel 5,Android,576,570.0,2638,98,2281,38,Female,5
540,OnePlus 9,Android,592,564.0,2867,95,1701,27,Female,5
542,iPhone 12,iOS,170,150.0,740,21,537,25,Female,2
545,Google Pixel 5,Android,544,582.0,2633,97,1727,28,Female,5
546,OnePlus 9,Android,50,120.0,362,17,182,34,Female,1
547,OnePlus 9,Android,236,276.0,1750,45,971,21,Female,3
548,iPhone 12,iOS,139,156.0,658,33,358,58,Female,2
550,Samsung Galaxy S21,Android,172,240.0,1047,32,508,21,Female,2
552,Samsung Galaxy S21,Android,157,150.0,1110,30,373,37,Female,2
554,Samsung Galaxy S21,Android,405,438.0,2082,75,1162,37,Female,4
555,iPhone 12,iOS,387,396.0,2168,61,1246,19,Female,4
556,Xiaomi Mi 11,Android,201,294.0,1633,41,972,32,Female,3
557,iPhone 12,iOS,142,210.0,625,25,370,40,Female,2
561,Samsung Galaxy S21,Android,408,372.0,2245,69,1103,38,Female,4
563,Google Pixel 5,Android,71,84.0,508,15,265,33,Female,1
567,Google Pixel 5,Android,116,234.0,1132,26,498,35,Female,2
569,Google Pixel 5,Android,291,318.0,1537,43,700,49,Female,3
572,Google Pixel 5,Android,444,366.0,2229,73,1194,25,Female,4
573,OnePlus 9,Android,211,354.0,1757,42,864,56,Female,3
575,Xiaomi Mi 11,Android,519,654.0,2571,93,2163,47,Female,5
577,Google Pixel 5,Android,554,618.0,2776,83,1606,34,Female,5
578,iPhone 12,iOS,381,450.0,2216,66,1291,37,Female,4
579,OnePlus 9,Android,257,360.0,1715,49,916,40,Female,3
581,iPhone 12,iOS,527,600.0,2430,82,1737,27,Female,5
583,iPhone 12,iOS,191,342.0,1414,53,991,19,Female,3
584,Google Pixel 5,Android,71,114.0,571,10,117,43,Female,1
585,OnePlus 9,Android,73,78.0,538,19,175,30,Female,1
587,Xiaomi Mi 11,Android,197,264.0,1665,44,608,43,Female,3
590,Samsung Galaxy S21,Android,111,216.0,627,26,464,39,Female,2
592,Google Pixel 5,Android,580,690.0,2767,84,2341,36,Female,5
593,Samsung Galaxy S21,Android,379,462.0,1809,64,1050,22,Female,4
594,Samsung Galaxy S21,Android,217,252.0,1500,42,677,26,Female,3
600,Samsung Galaxy S21,Android,192,258.0,1382,42,905,47,Female,3
601,iPhone 12,iOS,325,360.0,2244,70,1296,30,Female,4
604,OnePlus 9,Android,138,126.0,660,22,424,41,Female,2
605,OnePlus 9,Android,182,318.0,1278,42,885,54,Female,3
606,OnePlus 9,Android,425,360.0,1928,72,1150,53,Female,4
607,OnePlus 9,Android,580,624.0,2496,81,2441,37,Female,5
609,Xiaomi Mi 11,Android,258,294.0,1596,56,937,40,Female,3
614,Google Pixel 5,Android,49,66.0,395,16,153,46,Female,1
617,OnePlus 9,Android,288,324.0,1476,49,767,36,Female,3
618,Google Pixel 5,Android,225,336.0,1388,55,965,36,Female,3
619,OnePlus 9,Android,342,420.0,1826,71,1077,26,Female,4
621,iPhone 12,iOS,218,300.0,1475,46,972,59,Female,3
623,Xiaomi Mi 11,Android,453,444.0,2363,65,1046,41,Female,4
626,OnePlus 9,Android,55,108.0,328,12,196,31,Female,1
627,iPhone 12,iOS,210,300.0,1614,53,679,55,Female,3
632,Samsung Galaxy S21,Android,216,306.0,1483,54,977,45,Female,3
633,iPhone 12,iOS,496,612.0,2587,84,1921,56,Female,5
634,OnePlus 9,Android,138,192.0,1142,31,366,29,Female,2
636,Samsung Galaxy S21,Android,96,204.0,1198,39,401,48,Female,2
638,Xiaomi Mi 11,Android,83,66.0,546,10,289,32,Female,1
639,Google Pixel 5,Android,417,372.0,2074,63,1135,35,Female,4
640,Google Pixel 5,Android,538,588.0,2778,91,2080,35,Female,5
642,OnePlus 9,Android,50,84.0,443,16,255,26,Female,1
645,Google Pixel 5,Android,186,288.0,1494,53,949,20,Female,3
646,Xiaomi Mi 11,Android,174,174.0,1197,23,345,20,Female,2
647,Samsung Galaxy S21,Android,89,78.0,314,16,201,58,Female,1
648,iPhone 12,iOS,66,90.0,565,17,283,42,Female,1
650,Xiaomi Mi 11,Android,186,324.0,1627,58,790,31,Female,3
652,iPhone 12,iOS,69,102.0,519,10,167,51,Female,1
657,Google Pixel 5,Android,262,336.0,1489,59,628,54,Female,3
658,Xiaomi Mi 11,Android,278,318.0,1368,56,894,40,Female,3
659,Xiaomi Mi 11,Android,463,408.0,2358,68,1236,43,Female,4
664,Google Pixel 5,Android,469,384.0,1858,78,1297,55,Female,4
670,Samsung Galaxy S21,Android,160,192.0,648,31,339,27,Female,2
675,Xiaomi Mi 11,Android,522,684.0,2776,93,1768,27,Female,5
678,Samsung Galaxy S21,Android,115,210.0,706,26,495,52,Female,2
679,Google Pixel 5,Android,298,276.0,1525,59,814,36,Female,3
680,iPhone 12,iOS,33,108.0,334,16,113,36,Female,1
681,Google Pixel 5,Android,307,366.0,2105,76,1111,25,Female,4
689,Google Pixel 5,Android,261,294.0,1589,56,824,52,Female,3
692,iPhone 12,iOS,178,240.0,856,37,569,51,Female,2
693,Xiaomi Mi 11,Android,378,402.0,1898,78,1455,48,Female,4
695,Samsung Galaxy S21,Android,564,582.0,2422,83,1985,34,Female,5
698,Google Pixel 5,Android,99,186.0,942,22,457,50,Female,2
700,OnePlus 9,Android,212,324.0,1306,49,828,23,Female,3
