User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (min/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
164,iPhone 12,iOS,32,120.0,469,18,139,22,Male,1
167,Google Pixel 5,Android,595,678.0,2968,88,2366,30,Male,5
168,Google Pixel 5,Android,35,90.0,467,10,158,58,Male,1
170,Google Pixel 5,Android,587,708.0,2431,90,1894,47,Male,5
171,Xiaomi Mi 11,Android,92,222.0,1124,27,524,44,Male,2
172,Google Pixel 5,Android,46,66.0,487,17,208,23,Male,1
177,Xiaomi Mi 11,Android,255,324.0,1738,42,826,21,Male,3
179,Xiaomi Mi 11,Android,207,342.0,1582,52,692,38,Male,3
180,iPhone 12,iOS,539,714.0,2853,83,2007,55,Male,5
181,OnePlus 9,Android,151,144.0,1124,38,571,33,Male,2
182,Google Pixel 5,Android,474,384.0,2109,68,1079,24,Male,4
186,Google Pixel 5,Android,498,642.0,2738,94,1995,42,Male,5
188,OnePlus 9,Android,75,66.0,379,15,185,37,Male,1
191,iPhone 12,iOS,134,132.0,917,23,423,23,Male,2
192,Google Pixel 5,Android,79,114.0,477,13,161,24,Male,1
194,iPhone 12,iOS,262,245.99999999999997,1287,52,997,36,Male,3
197,OnePlus 9,Android,215,264.0,1407,41,991,47,Male,3
199,OnePlus 9,Android,80,96.0,549,14,197,19,Male,1
203,Xiaomi Mi 11,Android,88,78.0,327,11,262,22,Male,1
204,Google Pixel 5,Android,69,96.0,463,16,146,27,Male,1
205,OnePlus 9,Android,100,198.0,961,21,433,25,Male,2
206,Xiaomi Mi 11,Android,301,390.0,2084,71,1421,29,Male,4
208,Google Pixel 5,Android,163,186.0,620,21,419,23,Male,2
209,OnePlus 9,Android,539,558.0,2606,92,1990,41,Male,5
212,Samsung Galaxy S21,Android,481,654.0,2752,86,2017,18,Male,5
213,Samsung Galaxy S21,Android,133,204.0,714,38,445,25,Male,2
214,Xiaomi Mi 11,Android,41,66.0,588,10,246,22,Male,1
216,OnePlus 9,Android,553,504.0,2559,89,2471,51,Male,5
217,iPhone 12,iOS,402,414.0,2282,78,1397,40,Male,4
218,OnePlus 9,Android,555,570.0,2855,95,1565,24,Male,5
220,Xiaomi Mi 11,Android,101,192.0,603,28,417,43,Male,2
221,OnePlus 9,Android,433,408.0,2093,75,1300,32,Male,4
222,OnePlus 9,Android,133,120.0,1007,31,417,32,Male,2
225,OnePlus 9,Android,92,150.0,690,31,563,27,Male,2
227,Xiaomi Mi 11,Android,384,420.0,2185,72,1376,59,Male,4
229,Samsung Galaxy S21,Android,132,228.0,649,25,368,41,Male,2
230,Samsung Galaxy S21,Android,360,438.0,1946,79,1164,50,Male,4
231,iPhone 12,iOS,159,138.0,1083,32,526,38,Male,2
232,iPhone 12,iOS,495,534.0,2855,91,2150,31,Male,5
233,Xiaomi Mi 11,Android,537,600.0,2720,83,1763,35,Male,5
235,iPhone 12,iOS,132,228.0,636,28,529,53,Male,2
239,OnePlus 9,Android,64,102.0,585,13,107,53,Male,1
243,OnePlus 9,Android,162,210.0,761,36,338,51,Male,2
244,Samsung Galaxy S21,Android,451,390.0,2378,69,1341,44,Male,4
245,OnePlus 9,Android,30,78.0,479,16,253,35,Male,1
246,Samsung Galaxy S21,Android,202,300.0,1542,45,844,29,Male,3
247,Google Pixel 5,Android,71,90.0,590,17,257,33,Male,1
248,Google Pixel 5,Android,314,372.0,2205,63,1066,19,Male,4
253,Google Pixel 5,Android,523,630.0,2460,99,1787,22,Male,5
257,Xiaomi Mi 11,Android,424,462.0,1863,65,1116,52,Male,4
259,Xiaomi Mi 11,Android,201,240.0,1791,50,914,18,Male,3
264,Samsung Galaxy S21,Android,70,102.0,359,10,109,57,Male,1
266,Xiaomi Mi 11,Android,563,504.0,2849,85,1508,25,Male,5
268,OnePlus 9,Android,584,564.0,2766,84,2151,32,Male,5
269,Samsung Galaxy S21,Android,208,282.0,1642,45,861,55,Male,3
270,Samsung Galaxy S21,Android,381,396.0,2160,69,1450,20,Male,4
272,OnePlus 9,Android,284,252.0,1360,56,888,51,Male,3
274,Google Pixel 5,Android,179,138.0,1014,32,588,38,Male,2
275,iPhone 12,iOS,122,156.0,639,37,568,35,Male,2
276,OnePlus 9,Android,501,714.0,2702,88,1738,49,Male,5
278,Google Pixel 5,Android,230,264.0,1607,52,878,54,Male,3
279,Xiaomi Mi 11,Android,85,96.0,417,12,122,47,Male,1
281,Samsung Galaxy S21,Android,73,102.0,403,12,163,51,Male,1
283,iPhone 12,iOS,386,462.0,2114,72,1209,51,Male,4
285,Google Pixel 5,Android,411,414.0,1820,70,1024,43,Male,4
286,OnePlus 9,Android,534,648.0,2805,90,1538,37,Male,5
289,OnePlus 9,Android,121,222.0,619,36,473,47,Male,2
290,Google Pixel 5,Android,84,72.0,415,10,146,50,Male,1
291,OnePlus 9,Android,448,456.0,2199,66,1047,28,Male,4
292,Google Pixel 5,Android,55,96.0,360,19,149,30,Male,1
295,Samsung Galaxy S21,Android,580,510.0,2660,87,1795,52,Male,5
296,OnePlus 9,Android,65,108.0,481,18,130,41,Male,1
299,iPhone 12,iOS,264,312.0,1641,44,778,44,Male,3
301,Xiaomi Mi 11,Android,420,390.0,2113,65,1314,35,Male,4
306,OnePlus 9,Android,106,168.0,686,32,594,27,Male,2
307,OnePlus 9,Android,243,300.0,1232,47,877,43,Male,3
310,OnePlus 9,Android,397,408.0,2027,66,1167,40,Male,4
313,Google Pixel 5,Android,132,174.0,1054,32,563,20,Male,2
315,iPhone 12,iOS,281,294.0,1566,59,632,29,Male,3
320,Google Pixel 5,Android,508,678.0,2590,81,2481,51,Male,5
325,iPhone 12,iOS,445,450.0,2007,78,1115,23,Male,4
327,Samsung Galaxy S21,Android,199,360.0,1707,57,881,55,Male,3
333,OnePlus 9,Android,191,360.0,1762,45,904,54,Male,3
337,Samsung Galaxy S21,Android,473,474.0,2292,62,1472,44,Male,4
338,Samsung Galaxy S21,Android,30,78.0,561,15,252,34,Male,1
339,iPhone 12,iOS,306,366.0,2267,70,1449,46,Male,4
340,iPhone 12,iOS,64,72.0,590,13,155,30,Male,1
341,iPhone 12,iOS,75,60.0,435,13,223,43,Male,1
343,iPhone 12,iOS,529,630.0,2971,87,1683,56,Male,5
345,iPhone 12,iOS,256,348.0,1309,52,840,43,Male,3
348,Samsung Galaxy S21,Android,62,84.0,542,18,266,46,Male,1
349,Google Pixel 5,Android,156,228.0,866,34,510,26,Male,2
350,Samsung Galaxy S21,Android,303,444.0,2314,66,1387,34,Male,4
351,Samsung Galaxy S21,Android,463,414.0,2111,73,1463,54,Male,4
356,Samsung Galaxy S21,Android,30,114.0,574,19,287,45,Male,1
361,Samsung Galaxy S21,Android,517,708.0,2435,86,2208,26,Male,5
362,OnePlus 9,Android,557,624.0,2900,97,1609,22,Male,5
364,iPhone 12,iOS,321,474.0,2159,64,1499,45,Male,4
365,Xiaomi Mi 11,Android,579,516.0,2539,84,1935,34,Male,5
366,OnePlus 9,Android,382,432.0,1965,67,1341,22,Male,4
370,iPhone 12,iOS,165,144.0,816,35,503,34,Male,2
372,Google Pixel 5,Android,561,636.0,2547,86,1823,22,Male,5
375,OnePlus 9,Android,69,78.0,434,12,164,42,Male,1
376,OnePlus 9,Android,44,66.0,531,17,232,26,Male,1
379,Samsung Galaxy S21,Android,525,648.0,2445,99,1623,57,Male,5
380,OnePlus 9,Android,106,180.0,922,22,313,51,Male,2
381,iPhone 12,iOS,188,276.0,1767,47,653,34,Male,3
382,iPhone 12,iOS,493,624.0,2453,99,1813,39,Male,5
384,OnePlus 9,Android,104,174.0,653,35,322,30,Male,2
385,Samsung Galaxy S21,Android,102,180.0,890,38,548,28,Male,2
387,OnePlus 9,Android,98,120.0,925,32,457,28,Male,2
388,Samsung Galaxy S21,Android,72,78.0,461,13,199,32,Male,1
391,OnePlus 9,Android,311,474.0,2231,69,1021,36,Male,4
392,OnePlus 9,Android,337,366.0,1901,76,1359,58,Male,4
393,Samsung Galaxy S21,Android,168,210.0,1055,29,313,54,Male,2
394,iPhone 12,iOS,331,444.0,2129,66,1459,53,Male,4
396,Xiaomi Mi 11,Android,472,408.0,2288,61,1356,52,Male,4
398,iPhone 12,iOS,517,696.0,2798,90,2175,20,Male,5
400,OnePlus 9,Android,49,90.0,571,10,203,29,Male,1
401,Xiaomi Mi 11,Android,522,666.0,2821,86,1891,42,Male,5
402,Google Pixel 5,Android,97,162.0,612,36,508,53,Male,2
403,iPhone 12,iOS,411,444.0,1960,71,1264,40,Male,4
410,Google Pixel 5,Android,405,414.0,2366,61,1434,51,Male,4
412,Xiaomi Mi 11,Android,575,491.99999999999994,2918,88,1928,50,Male,5
414,iPhone 12,iOS,270,300.0,1532,51,957,35,Male,3
416,iPhone 12,iOS,98,138.0,608,24,394,56,Male,2
420,iPhone 12,iOS,83,84.0,454,11,228,46,Male,1
421,iPhone 12,iOS,32,84.0,416,12,198,56,Male,1
422,iPhone 12,iOS,168,192.0,716,38,414,43,Male,2
425,OnePlus 9,Android,201,300.0,1482,59,709,24,Male,3
426,Samsung Galaxy S21,Android,130,168.0,1062,24,579,37,Male,2
428,OnePlus 9,Android,105,228.0,967,28,489,51,Male,2
429,Xiaomi Mi 11,Android,94,138.0,1033,33,369,58,Male,2
430,Xiaomi Mi 11,Android,540,606.0,2757,90,2180,37,Male,5
431,iPhone 12,iOS,266,330.0,1238,59,839,22,Male,3
432,iPhone 12,iOS,140,228.0,1137,36,506,53,Male,2
433,Google Pixel 5,Android,534,624.0,2672,90,1702,51,Male,5
434,OnePlus 9,Android,46,120.0,309,15,116,42,Male,1
435,iPhone 12,iOS,581,504.0,2591,99,2304,58,Male,5
437,OnePlus 9,Android,221,264.0,1341,46,862,20,Male,3
438,iPhone 12,iOS,41,102.0,408,16,291,34,Male,1
440,Google Pixel 5,Android,123,234.0,915,39,468,18,Male,2
442,Samsung Galaxy S21,Android,223,342.0,1295,44,751,39,Male,3
443,Google Pixel 5,Android,66,66.0,505,17,218,33,Male,1
445,iPhone 12,iOS,555,528.0,2540,97,2402,22,Male,5
446,Samsung Galaxy S21,Android,378,432.0,1859,61,1318,58,Male,4
447,OnePlus 9,Android,546,528.0,2852,81,1641,24,Male,5
448,Samsung Galaxy S21,Android,234,312.0,1604,58,919,58,Male,3
451,Samsung Galaxy S21,Android,179,210.0,1114,30,466,56,Male,2
452,OnePlus 9,Android,591,708.0,2953,92,1903,52,Male,5
453,Samsung Galaxy S21,Android,120,198.0,734,35,583,26,Male,2
454,Google Pixel 5,Android,88,78.0,557,13,164,43,Male,1
455,iPhone 12,iOS,143,234.0,1160,24,398,45,Male,2
458,OnePlus 9,Android,234,282.0,1707,55,871,46,Male,3
460,OnePlus 9,Android,174,144.0,639,37,545,50,Male,2
462,Samsung Galaxy S21,Android,123,198.0,938,36,438,55,Male,2
463,Samsung Galaxy S21,Android,216,354.0,1789,54,987,55,Male,3
464,iPhone 12,iOS,290,276.0,1694,50,809,23,Male,3
467,Samsung Galaxy S21,Android,414,438.0,2349,75,1092,51,Male,4
469,Xiaomi Mi 11,Android,429,450.0,1921,61,1102,46,Male,4
470,Xiaomi Mi 11,Android,39,114.0,541,16,294,37,Male,1
471,Samsung Galaxy S21,Android,248,276.0,1396,52,883,40,Male,3
474,iPhone 12,iOS,289,300.0,1625,45,687,29,Male,3
480,Samsung Galaxy S21,Android,189,288.0,1681,59,795,57,Male,3
481,iPhone 12,iOS,155,144.0,954,39,441,51,Male,2
482,Samsung Galaxy S21,Android,528,624.0,2717,87,2140,34,Male,5
483,iPhone 12,iOS,549,666.0,2851,87,1814,56,Male,5
486,Xiaomi Mi 11,Android,80,66.0,417,18,298,36,Male,1
490,Google Pixel 5,Android,586,558.0,2403,94,2332,21,Male,5
491,Google Pixel 5,Android,416,366.0,2279,71,1096,47,Male,4
494,OnePlus 9,Android,329,408.0,1892,69,1383,23,Male,4
496,Google Pixel 5,Android,493,654.0,2928,88,2116,57,Male,5
499,Google Pixel 5,Android,274,270.0,1356,54,869,53,Male,3
501,Google Pixel 5,Android,66,78.0,369,14,195,32,Male,1
504,Google Pixel 5,Android,200,348.0,1291,50,965,52,Male,3
505,Google Pixel 5,Android,493,510.0,2859,99,2450,47,Male,5
507,Xiaomi Mi 11,Android,238,306.0,1408,45,941,27,Male,3
509,Google Pixel 5,Android,267,354.0,1740,45,791,22,Male,3
510,iPhone 12,iOS,492,600.0,2513,90,1968,31,Male,5
512,Samsung Galaxy S21,Android,567,648.0,2911,89,1682,39,Male,5
513,Samsung Galaxy S21,Android,36,96.0,442,17,249,34,Male,1
515,Samsung Galaxy S21,Android,466,426.0,1984,73,1461,54,Male,4
516,OnePlus 9,Android,126,132.0,1187,28,599,25,Male,2
517,Xiaomi Mi 11,Android,120,228.0,940,36,535,44,Male,2
518,iPhone 12,iOS,64,72.0,592,19,218,25,Male,1
520,OnePlus 9,Android,119,132.0,1123,22,371,51,Male,2
521,OnePlus 9,Android,350,390.0,2364,75,1485,20,Male,4
522,Google Pixel 5,Android,69,66.0,535,17,250,25,Male,1
524,Samsung Galaxy S21,Android,506,672.0,2623,98,2460,48,Male,5
526,Samsung Galaxy S21,Android,224,270.0,1646,57,665,59,Male,3
529,Google Pixel 5,Android,175,180.0,801,32,338,24,Male,2
532,OnePlus 9,Android,339,474.0,1987,66,1191,47,Male,4
535,OnePlus 9,Android,389,366.0,2087,67,1383,30,Male,4
537,Samsung Galaxy S21,Android,289,354.0,1528,48,915,30,Male,3
541,iPhone 12,iOS,567,630.0,2817,89,2194,52,Male,5
543,Google Pixel 5,Android,242,324.0,1307,48,642,28,Male,3
544,Samsung Galaxy S21,Android,275,330.0,1616,48,656,55,Male,3
549,Google Pixel 5,Android,383,396.0,2155,74,1360,45,Male,4
551,Xiaomi Mi 11,Android,455,372.0,1984,72,1287,42,Male,4
553,iPhone 12,iOS,173,228.0,605,23,583,32,Male,2
558,Samsung Galaxy S21,Android,198,252.0,1392,43,640,27,Male,3
559,Google Pixel 5,Android,361,456.0,2037,65,1056,55,Male,4
560,OnePlus 9,Android,553,696.0,2914,81,1860,47,Male,5
562,Xiaomi Mi 11,Android,121,126.0,1188,21,578,18,Male,2
564,iPhone 12,iOS,46,96.0,440,10,265,31,Male,1
565,Xiaomi Mi 11,Android,290,264.0,1272,55,910,44,Male,3
566,Samsung Galaxy S21,Android,60,78.0,462,15,296,40,Male,1
568,OnePlus 9,Android,86,102.0,312,16,227,32,Male,1
570,Google Pixel 5,Android,404,396.0,2181,77,1327,18,Male,4
571,OnePlus 9,Android,441,426.0,1928,74,1421,57,Male,4
574,Samsung Galaxy S21,Android,537,546.0,2858,86,2158,22,Male,5
576,Samsung Galaxy S21,Android,94,210.0,606,30,446,49,Male,2
580,Samsung Galaxy S21,Android,47,66.0,532,18,122,36,Male,1
582,Samsung Galaxy S21,Android,148,162.0,625,34,416,27,Male,2
586,OnePlus 9,Android,149,186.0,1191,28,563,29,Male,2
588,Samsung Galaxy S21,Android,328,366.0,1975,72,1101,24,Male,4
589,OnePlus 9,Android,424,450.0,1995,75,1228,36,Male,4
591,Samsung Galaxy S21,Android,159,222.0,630,33,575,30,Male,2
595,Xiaomi Mi 11,Android,447,378.0,1959,63,1441,48,Male,4
596,OnePlus 9,Android,512,630.0,2538,82,1694,41,Male,5
597,Xiaomi Mi 11,Android,511,648.0,2529,91,2387,21,Male,5
598,OnePlus 9,Android,140,150.0,825,31,347,59,Male,2
599,Samsung Galaxy S21,Android,114,180.0,1131,31,596,28,Male,2
602,OnePlus 9,Android,83,72.0,545,15,284,44,Male,1
603,OnePlus 9,Android,122,180.0,922,32,373,43,Male,2
608,Xiaomi Mi 11,Android,203,240.0,1323,56,787,21,Male,3
610,iPhone 12,iOS,551,510.0,2927,92,1901,51,Male,5
611,iPhone 12,iOS,507,576.0,2606,95,1543,48,Male,5
612,Xiaomi Mi 11,Android,57,78.0,489,16,131,37,Male,1
613,Xiaomi Mi 11,Android,553,612.0,2911,82,2441,44,Male,5
615,Samsung Galaxy S21,Android,106,240.0,1158,23,493,18,Male,2
616,Google Pixel 5,Android,119,222.0,608,36,461,52,Male,2
620,Samsung Galaxy S21,Android,292,252.0,1407,54,867,59,Male,3
622,Google Pixel 5,Android,64,108.0,351,15,274,56,Male,1
624,OnePlus 9,Android,42,108.0,417,15,284,21,Male,1
625,Samsung Galaxy S21,Android,36,90.0,310,15,272,45,Male,1
628,iPhone 12,iOS,227,312.0,1446,46,920,59,Male,3
629,Xiaomi Mi 11,Android,47,72.0,437,18,234,55,Male,1
630,iPhone 12,iOS,461,378.0,1988,62,1004,21,Male,4
631,Google Pixel 5,Android,94,186.0,1078,38,489,25,Male,2
635,iPhone 12,iOS,318,396.0,2055,67,1253,43,Male,4
637,OnePlus 9,Android,510,642.0,2433,90,1729,47,Male,5
641,Samsung Galaxy S21,Android,63,108.0,321,11,271,42,Male,1
643,Google Pixel 5,Android,502,491.99999999999994,2597,90,1553,27,Male,5
644,OnePlus 9,Android,105,198.0,723,35,566,46,Male,2
649,iPhone 12,iOS,389,378.0,2294,76,1334,53,Male,4
651,Google Pixel 5,Android,149,120.0,1041,39,356,49,Male,2
653,Xiaomi Mi 11,Android,206,312.0,1632,47,694,30,Male,3
654,Samsung Galaxy S21,Android,49,72.0,365,19,144,29,Male,1
655,Google Pixel 5,Android,594,630.0,2839,91,1647,56,Male,5
656,Google Pixel 5,Android,104,222.0,1028,29,493,39,Male,2
660,Xiaomi Mi 11,Android,505,576.0,2464,91,2375,35,Male,5
661,Google Pixel 5,Android,50,90.0,387,12,146,59,Male,1
662,Xiaomi Mi 11,Android,138,186.0,947,29,545,48,Male,2
663,Xiaomi Mi 11,Android,130,192.0,1189,37,448,45,Male,2
665,Xiaomi Mi 11,Android,555,618.0,2568,83,2003,52,Male,5
666,iPhone 12,iOS,198,324.0,1544,53,635,53,Male,3
667,Samsung Galaxy S21,Android,529,684.0,2891,82,1845,46,Male,5
668,Samsung Galaxy S21,Android,205,330.0,1699,49,729,36,Male,3
669,iPhone 12,iOS,170,144.0,1039,38,334,23,Male,2
671,iPhone 12,iOS,81,96.0,387,13,224,48,Male,1
672,Google Pixel 5,Android,468,438.0,1937,64,1209,22,Male,4
673,Xiaomi Mi 11,Android,500,672.0,2925,84,2438,27,Male,5
674,Google Pixel 5,Android,37,96.0,490,18,216,52,Male,1
676,Xiaomi Mi 11,Android,81,90.0,545,17,159,40,Male,1
677,OnePlus 9,Android,141,228.0,689,38,576,34,Male,2
682,Xiaomi Mi 11,Android,380,456.0,2354,77,1191,30,Male,4
683,Xiaomi Mi 11,Android,190,330.0,1718,58,815,42,Male,3
684,Samsung Galaxy S21,Android,75,96.0,325,12,225,45,Male,1
685,Google Pixel 5,Android,218,240.0,1221,47,822,25,Male,3
686,Xiaomi Mi 11,Android,412,396.0,1859,67,1393,18,Male,4
687,Google Pixel 5,Android,335,462.0,2037,68,1007,18,Male,4
688,OnePlus 9,Android,387,378.0,2098,61,1178,54,Male,4
690,Samsung Galaxy S21,Android,541,570.0,2424,98,1550,32,Male,5
691,Google Pixel 5,Android,195,342.0,1447,48,679,30,Male,3
694,Xiaomi Mi 11,Android,505,516.0,2792,82,1709,31,Male,5
696,iPhone 12,iOS,92,234.0,1082,26,381,22,Male,2
697,Xiaomi Mi 11,Android,316,408.0,1965,68,1201,59,Male,4
699,Samsung Galaxy S21,Android,62,102.0,431,13,224,44,Male,1
